symbol,report_date
ADSK,2005-05-19
ADSK,2005-08-18
ADSK,2005-11-17
ADSK,2006-02-28
ADSK,2006-05-18
ADSK,2006-08-17
ADSK,2006-11-16
ADSK,2007-02-28
ADSK,2007-06-08
ADSK,2007-08-16
ADSK,2007-11-15
ADSK,2008-02-26
ADSK,2008-05-15
ADSK,2008-08-14
ADSK,2008-11-20
ADSK,2009-02-26
ADSK,2009-05-21
ADSK,2009-08-13
ADSK,2009-11-17
ADSK,2010-02-23
ADSK,2010-05-19
ADSK,2010-08-12
ADSK,2010-11-18
ADSK,2011-02-24
ADSK,2011-05-19
ADSK,2011-08-18
ADSK,2011-11-15
ADSK,2012-02-23
ADSK,2012-05-17
ADSK,2012-08-23
ADSK,2012-11-15
ADSK,2013-02-25
ADSK,2013-05-16
ADSK,2013-08-22
ADSK,2013-11-21
ADSK,2014-02-26
ADSK,2014-05-15
ADSK,2014-08-14
ADSK,2014-11-20
ADSK,2015-02-26
ADSK,2015-05-19
ADSK,2015-08-27
ADSK,2015-11-19
ADSK,2016-02-25
ADSK,2016-05-19
ADSK,2016-08-25
ADSK,2016-11-29
ADSK,2017-03-02
ADSK,2017-05-18
ADSK,2017-08-24
ADSK,2017-11-28
ADSK,2018-03-06
ADSK,2018-05-24
ADSK,2018-08-23
ADSK,2018-11-20
ADSK,2019-02-28
ADSK,2019-05-23
ADSK,2019-08-27
ADSK,2019-11-26
ADSK,2020-02-27
ADSK,2020-05-27
ADSK,2020-08-25
ADSK,2020-11-24
ADSK,2021-02-25
ADSK,2021-05-27
ADSK,2021-08-25
ADSK,2021-11-23
ADSK,2022-02-24
ADSK,2022-05-26
ADSK,2022-08-24
ADSK,2022-11-22
ADSK,2023-02-23
ADSK,2023-05-25
ADSK,2023-08-23
ADSK,2023-11-21
ADSK,2024-02-29
ADSK,2024-06-11
ADSK,2024-08-29
ADSK,2024-11-26
ADSK,2025-02-27
ADSK,2025-05-22
ADSK,2025-08-28
ADSK,2025-11-25
ADSK,2026-02-26
ADSK,2026-05-28
AEE,1996-04-18
AEE,1996-07-23
AEE,1996-10-22
AEE,1997-02-04
AEE,1997-04-18
AEE,1997-07-22
AEE,1997-10-16
AEE,1998-02-05
AEE,1998-04-24
AEE,1998-07-23
AEE,1998-10-15
AEE,1999-02-04
AEE,1999-04-20
AEE,1999-07-27
AEE,1999-10-15
AEE,2000-02-03
AEE,2000-04-19
AEE,2000-07-25
AEE,2000-10-23
AEE,2001-02-06
AEE,2001-04-23
AEE,2001-07-24
AEE,2001-10-24
AEE,2002-02-05
AEE,2002-04-22
AEE,2002-07-25
AEE,2002-10-18
AEE,2003-02-11
AEE,2003-04-30
AEE,2003-07-30
AEE,2003-10-24
AEE,2004-02-10
AEE,2004-04-29
AEE,2004-07-29
AEE,2004-10-22
AEE,2005-02-08
AEE,2005-04-28
AEE,2005-07-28
AEE,2005-11-01
AEE,2006-02-14
AEE,2006-05-04
AEE,2006-08-03
AEE,2006-11-03
AEE,2007-02-15
AEE,2007-05-10
AEE,2007-08-02
AEE,2007-11-09
AEE,2008-02-14
AEE,2008-05-02
